linha,endereco,sku,produto_planilha,quantidade,produto_match,origem_match,score,revisar
28,A17,PERCS1KG,QUIMIVIDA PERCARBONATO 1KG,50,QUIMIVIDA PERCARBONATO DE SODIO 1KG,catalogo,90.4,
29,A18,QUALFD4-16,FARDO PAPEL HIGIENICO NEVE 4 ROLOS,89,FARDO 16PCT QUALITE PAPEL HIGIENICO FOLHA DUPLA 4 ROLOS,catalogo,73.0,sim
30,A18,,FARDO PAPEL TOALHA SNOB,0,FARDO PAPEL TOALHA SNOB,planilha,0,sim
31,A19,LPCERCIT1L,START LIMPA CERÂMICAS 1L,398,START AZULIM LIMPA CERAMICAS E AZULEJOS CITRUS  1L,catalogo,77.7,sim
32,A20,LPCERAZ2L,START LIMPA CERÂMICAS 2L,602,START AZULIM LIMPA CERAMICAS E AZULEJOS LAVANDA 2L,catalogo,77.2,sim
33,A21,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,34,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
34,A22,LIMPAZL5L,START LIMPA CERÂMICAS 5L,432,START AZULIM LIMPA CERAMICAS E AZULEJOS LAVANDA 5L,catalogo,77.2,sim
35,A23,PRET2L,START PRETITA 2L,25,START PRETITA 2L,catalogo,100,
36,A24,DESINEO1L,START DESINFETANTES 1L,198,START AZULIM  NEON DESINFETANTE 1L,catalogo,73.0,sim
37,A25,LIMPAZL1L,START AZULIM LIMPA CERAMICAS E AZULEJOS LAVANDA 1L,0,START AZULIM LIMPA CERAMICAS E AZULEJOS LAVANDA 1L,catalogo,100,
38,A26,DLSTART5L,START DESENGRAX DL 5L,554,START DL DESENGRAX 5L,catalogo,90.7,
39,A27,RLCLAS,CLASSIC ROLÃO 100%,90,CLASSIC PAPEL HIGENICO ROLAO FS 100% 8 UN,catalogo,73.8,sim
40,A27,CLARLBR,CLASSIC ROLÃO BRANCO,37,CLASSIC PAPEL HIGIENICO ROLAO FS BRANCO 8UN,catalogo,76.3,sim
41,A27,,CLASSPEL ROLÃO,4,CLASSPEL ROLÃO,planilha,0,sim
42,A28,MAGICO5L,START MAGICO 5L,11,START MAGICO 5L,catalogo,100,
43,A29,,START CERA LIQUIDA POLYLAR 5L,554,START CERA LIQUIDA POLYLAR 5L,planilha,0,sim
45,A31,FLOGEL5,START GEL LIMPADOR FLORAL 5L,0,START AZULIM GEL LIMPADOR FLORATA 5L,catalogo,82.8,
46,A31,LAVGEL5L,START GEL LIMPADOR LAVANDA 5L,265,START AZULIM GEL LIMPADOR LAVANDA 5L,catalogo,93.0,
47,A31,MARIGEL5L,START GEL LIMPADOR MARINER 5L,0,START AZULIM GEL LIMPADOR MARINER 5L,catalogo,93.0,
48,A31,ASSABANT,START ASSEPT GEL SABONETE SEM AROMA 5L,44,START ASSEPTGEL SABONETE ANTISSPTICO 5L SEM AROMA,catalogo,75.8,sim
49,A31,SABERV5L,START ONLY SABONETE ERVA DOCE 5L,39,START ONLY SABONETE ERVA DOCE 5L,catalogo,100,
50,A32,,IPEL NOBBY FOLHA SIMPLES 30x31 F.S,61,IPEL NOBBY FOLHA SIMPLES 30x31 F.S,planilha,0,sim
51,A33,,IPEL NOBBY FOLHA SIMPLES 30x31 F.S,45,IPEL NOBBY FOLHA SIMPLES 30x31 F.S,planilha,0,sim
52,A34,SH30005L,START SH 3000 5L,4,START SH3000 5L,catalogo,80.4,
54,A36,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,192,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
56,A38,,HIGIENITA ESCOVA SANITARIA,0,HIGIENITA ESCOVA SANITARIA,planilha,0,sim
57,A39,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,0,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
58,A40,MAXI5L,START MAXIMOON 5L,143,START MAXIMOOM 5L,catalogo,84.5,
59,A41,,DONA RITA POTE DE MOLHO 30ML,87,DONA RITA POTE DE MOLHO 30ML,planilha,0,sim
60,A42,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,192,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
61,A43,AZLPCHBR1L,START LIMPADOR PERFUMADO CHÁ BRANCO 1L,0,START AZULIM LIMPADOR CHA BRANCO 1L,catalogo,79.0,
62,A43,LPCH3L,START LIMPADOR PERFUMADO CHÁ BRANCO 3L,5,LIMPADOR PERFUMADO AZULIM CHA BRANCO 3L,catalogo,83.2,
63,A44,,HIGIENITA ESCOVA SANITARIA,3,HIGIENITA ESCOVA SANITARIA,planilha,0,sim
64,A45,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,6,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
65,A46,AGE1L,AGE INSETICIDA 1L,34,AGE INSETICIDA 1L,catalogo,100,
67,A48,,IPEL NOBBY 21x22 F.S,10,IPEL NOBBY 21x22 F.S,planilha,0,sim
68,A49,,START LIMPA PORCELANATOS LAVANDA E CITRUS 5L,86,START LIMPA PORCELANATOS LAVANDA E CITRUS 5L,planilha,0,sim
