endereco,sku,produto,quantidade
B20,GEL70VALV,START ASSEPTGEL GEL VALVULA 420G,0
B21,,GALVANOTEK CAIXAS DE BOLO,52
B22,CERAACR5L,START CERA ACRÍLICA 5L,51
B23,CERAACR2L,START CERA ACRÍLICA 2L,98
B24,,GALVANOTEK CAIXAS DE BOLO,11
B25,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,0
B26,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,0
B27,PRET5L,START PRETITA 5L CERA LIQUIDA,20
B28,,START MAXIMOON ALCALINO 2L,251
B28,MAXILAV2L,START MAXIMOON LAVANDA 2L,0
B28,MAXIBAC2L,START MAXIMOON BACTERICIDA 2L,0
B28,MAXIBAC5L,START MAXIMOON BACTERICIDA 5L,745
B29,,YPE DETERGENTES 500ML E SUPREMA DETERGENTES 500ML,0
B30,BTBR80X40,BOBINA TERMICA,0
B31,STFT5L,START FLOTADOR 5L,0
B31,ARGDET5L,START ARGUS DETERGENTE 5L,0
B31,MAXLAV5,START MAXIMOON LAVANDA 5L,0
B31,,START ACABAMENTO ACRILICO 5L,0
B31,TFAZL5L,START TIRA FERRUGEM 5L,0
B31,SELMAST5L,START SELADOR MASTER 5L,472
B32,FRBLUE52,START ASSEPTGEL GEL 52G,472
B32,LIMPALUM,START LIMPA ALUMINIO 500ML,0
B32,AZREMCER1L,START REMOVEDOR DE CERAS 1L,100
B33,STARTGR1L,START GRILL 1L,150
B33,LPCHGRE1L,START LIMPA CHAPAS 1L,0
B33,TFAZL1L,START TIRA FERRUGENS 1L,0
B33,STDSPV,START DESENTUPIDOR DE PIAS E VASOS 1L,0
B34,,CRISTAL COPO POTES REDONDOS,0
B35,PRETO100L,SACO DE LIXO PRETO 100L - 100UNI,292
B36,PRETO60L,SACO DE LIXO PRETO 60L - 100UNI,0
B37,,SACOS DE LIXO REFORÇADOS 100L/200L/300L,0
B38,,SACOS DE LIXO COLORIDOS,0
B39,PRETO60L,SACO DE LIXO 40L - 100UNI,150
B40,PRETO60L,SACO DE LIXO 20L - 100UNI,83
B41,VERDE100L,SACO DE LIXO VERDE 100L,8
B42,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,69
